REF_DATE,GEO,VALUE
1981-01-01,Canada,38.2
1981-01-01,Canada,36.1
1981-01-01,Canada,40.6
1981-01-01,Atlantic Region,0
1981-01-01,Atlantic Region,0
1981-01-01,Atlantic Region,0
1981-01-01,Newfoundland and Labrador,0
1981-01-01,Newfoundland and Labrador,0
1981-01-01,Newfoundland and Labrador,0
1981-01-01,"St. John's, Newfoundland and Labrador",36.1
1981-01-01,"St. John's, Newfoundland and Labrador",37.5
1981-01-01,"St. John's, Newfoundland and Labrador",31.4
1981-01-01,Prince Edward Island,0
1981-01-01,Prince Edward Island,0
1981-01-01,Prince Edward Island,0
1981-01-01,"Charlottetown, Prince Edward Island",0
1981-01-01,"Charlottetown, Prince Edward Island",0
1981-01-01,"Charlottetown, Prince Edward Island",0
1981-01-01,Nova Scotia,0
1981-01-01,Nova Scotia,0
1981-01-01,Nova Scotia,0
1981-01-01,"Halifax, Nova Scotia",0
1981-01-01,"Halifax, Nova Scotia",0
1981-01-01,"Halifax, Nova Scotia",32.5
1981-01-01,New Brunswick,0
1981-01-01,New Brunswick,0
1981-01-01,New Brunswick,0
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",55.9
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",61.4
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981-01-01,Quebec,0
1981-01-01,Quebec,0
1981-01-01,Quebec,0
1981-01-01,"Québec, Quebec",30.1
1981-01-01,"Québec, Quebec",34.9
1981-01-01,"Québec, Quebec",19.8
1981-01-01,"Sherbrooke, Quebec",0
1981-01-01,"Sherbrooke, Quebec",0
1981-01-01,"Sherbrooke, Quebec",0
1981-01-01,"Trois-Rivières, Quebec",0
1981-01-01,"Trois-Rivières, Quebec",0
1981-01-01,"Trois-Rivières, Quebec",0
1981-01-01,"Montréal, Quebec",28.5
1981-01-01,"Montréal, Quebec",30
1981-01-01,"Montréal, Quebec",20.3
1981-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",0
1981-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",0
1981-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",0
1981-01-01,Ontario,0
1981-01-01,Ontario,0
1981-01-01,Ontario,0
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32.6
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.8
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",39.9
1981-01-01,"Oshawa, Ontario",0
1981-01-01,"Oshawa, Ontario",0
1981-01-01,"Oshawa, Ontario",0
